nMax,time,avgScore,varScore,maxScore
9000,6.217,-40.6973,1829.4,-22.0881
9000,2.70273,-36.5842,60.3803,-33.9039
9000,4.02858,-44.8248,52.0818,-33.0038
9000,3.68369,-38.1,99.009,-26.0048
9000,3.39467,-46.1031,54.1881,-36.9145
9500,6.26665,-37.8352,117.094,-28.5971
9500,2.76339,-34.7218,12.1713,-25.6488
9500,2.35851,-34.304,130.285,-25.8565
9500,5.98657,-44.0018,58.3362,-34.7172
9500,4.78329,-35.8195,101.308,-25.5504
9500,9.4786,-34.0487,63.4078,-23.988
9500,4.37192,-33.6002,48.9828,-26.7788
9500,5.62041,-30.129,567.993,-23.8314
9500,7.20708,-31.0231,178.228,-23.9662
9500,13.3856,-33.8534,79.7709,-23.0069
9500,7.86898,-37.7765,24.3205,-27.6713
9500,1.84904,-46.9152,333.982,-32.5171
9500,4.79838,-44.6284,101.462,-33.5686
9500,3.74404,-47.5362,2070.61,-33.4798
9500,7.71205,-45.0489,54.8257,-30.2734
9500,3.99324,-35.6465,543.584,-30.6668
9500,2.72226,-43.9939,60.044,-32.4027
9500,7.10565,-39.4983,493.118,-28.8812
9500,5.07471,-38.5857,83.681,-28.4275
9500,6.91288,-40.6381,113.811,-29.4803
10000,1.62024,-38.9373,23.3544,-27.5907
10000,6.10541,-41.0806,1246,-23.32
10000,2.20688,-40.274,1655.61,-29.7554
10000,3.22564,-39.5278,88.1364,-29.2799
10000,3.85,-36.9114,258.701,-23.489
10000,4.03165,-38.7102,231.867,-27.6736
10000,2.33066,-38.3625,40.3046,-31.3868
10000,4.54655,-42.5276,179.543,-27.7914
10000,3.9481,-42.4796,1239.73,-30.5538
10000,4.96686,-39.8702,146.042,-33.0042
10000,5.43267,-32.1861,107.986,-20.5831
10000,7.56334,-43.5948,891.17,-28.7275
10000,5.40681,-43.8061,58.3252,-34.6134
10000,4.3208,-28.9657,60.0429,-24.989
10000,8.0999,-40.9953,118.722,-34.2013
10000,5.30815,-33.8644,341.73,-19.4749
10000,4.5726,-40.0256,174.639,-31.8397
10000,6.39728,-39.4715,173.455,-26.4811
10000,7.40805,-36.2112,56.4524,-27.7682
10000,8.90441,-37.8903,26.255,-30.6865
