nMax,time,avgScore,varScore,maxScore
14,20.1754,-18.6101,0.159274,-18.359
14,12.3358,-19.203,0.0891551,-19.0521
14,7.66588,-15.3721,0.196949,-15.2458
14,10.3613,-19.3812,0.0296474,-19.1369
14,8.69031,-18.7627,0.00908046,-18.6425
14,6.79646,-23.6358,0.0408527,-23.5556
14,15.5131,-20.7734,0.0220576,-20.6009
14,11.0875,-18.6879,0.00553176,-18.6499
14,10.0519,-21.9202,0.0194318,-21.7887
14,13.2593,-21.0089,0.0899265,-20.8075
14,6.37134,-19.2085,0.275124,-18.7968
14,9.9657,-17.9714,0.0144413,-17.9326
14,22.3091,-14.3635,0.0484456,-14.1837
14,9.60797,-16.767,0.0790004,-16.6523
15,9.93977,-24.5159,0.0779411,-23.982
15,17.7003,-16.5398,0.00102619,-16.5067
15,14.3987,-20.1252,0.689164,-19.4536
15,6.75399,-20.2576,0.0617695,-20.1381
15,19.1365,-21.3622,0.0316612,-21.2369
15,5.39879,-22.9273,0.0498775,-22.8341
15,10.1159,-24.3915,0.0356176,-24.2263
15,7.09878,-19.2878,0.0341346,-19.1532
15,25.0226,-16.8491,0.0746011,-16.6905
15,10.9891,-16.7837,1.26218e-29,-16.7837
15,14.8647,-18.9603,0.0214469,-18.7574
15,18.8311,-20.5817,0.0218989,-20.516
15,9.42173,-15.2007,0.210461,-15.0411
15,13.0756,-19.1551,0.0202611,-18.9956
15,14.3101,-20.5527,0.00998827,-20.4322
15,15.9238,-20.2429,0.00172694,-20.1539
15,13.8926,-20.0551,0.012221,-19.9769
15,9.86427,-18.7004,0.0245474,-18.6225
15,9.07568,-21.7038,0.00657789,-21.6401
15,8.40339,-20.7162,0.00448017,-20.6671
