method,numSamps,time,avgScore,maxScore
smc,800,92.5476,-6.9133,-6.7144
smc,800,60.2244,-8.99787,-8.72489
smc,800,179.254,-6.71693,-6.54821
smc,800,54.9419,-9.96972,-9.6785
smc,800,70.9737,-7.89464,-7.5645
smc_fixedOrder,800,37.7474,-9.06821,-8.7772
smc_fixedOrder,800,13.8435,-12.1136,-11.8119
smc_fixedOrder,800,29.8433,-8.02198,-7.64543
smc_fixedOrder,800,29.3581,-9.10474,-8.90249
smc_fixedOrder,800,70.9245,-7.34637,-7.21952
smc_fixedOrder,800,19.4138,-9.49131,-9.40629
smc_fixedOrder,800,22.8824,-10.3367,-9.93594
smc_fixedOrder,800,26.4471,-10.1856,-9.95759
smc_fixedOrder,800,32.4703,-9.5186,-9.17283
smc_fixedOrder,800,189.211,-41.0003,-40.8086
mh,800,95.0666,-17.8013,-15.126
mh,800,95.0677,-17.0924,-15.2193
mh,800,95.0798,-25.4177,-16.0306
mh,800,95.0702,-14.9554,-7.87872
mh,800,95.0489,-9.95055,-8.18471
mh,800,95.0556,-11.2984,-9.51659
mh,800,95.0695,-35.7691,-23.9896
mh,800,95.055,-22.8123,-15.1755
mh,800,95.0618,-10.2811,-9.26815
mh,800,95.0601,-18.2079,-15.1015
smc,900,162.061,-6.28214,-5.94408
smc,900,173.541,-6.98606,-6.68876
smc,900,181.777,-4.75069,-4.61365
smc,900,165.187,-7.6122,-7.35976
smc,900,112.084,-5.58749,-5.39478
smc,900,115.685,-6.80108,-6.50365
smc,900,414.53,-3.7515,-3.5402
smc,900,294.9,-4.97031,-4.78166
smc,900,47.6781,-8.43037,-8.25403
smc,900,66.0088,-8.59136,-8.32051
smc_fixedOrder,900,25.2341,-10.3019,-9.90723
smc_fixedOrder,900,82.0544,-5.84094,-5.83855
smc_fixedOrder,900,95.4555,-8.451,-8.11075
smc_fixedOrder,900,37.2975,-8.92421,-8.65587
smc_fixedOrder,900,22.5754,-9.59347,-9.3667
smc_fixedOrder,900,50.4361,-8.14196,-7.90795
smc_fixedOrder,900,68.483,-6.38598,-6.09997
smc_fixedOrder,900,40.2908,-10.6948,-10.3997
smc_fixedOrder,900,474.836,-12.494,-12.3492
smc_fixedOrder,900,48.9217,-8.40258,-8.23216
mh,900,173.428,-12.5991,-11.8043
mh,900,173.431,-23.2824,-14.235
mh,900,173.459,-20.6333,-8.57345
mh,900,173.408,-8.17592,-7.31556
mh,900,173.42,-13.5447,-11.0609
mh,900,173.449,-28.8688,-18.3298
mh,900,173.411,-9.50716,-8.50486
mh,900,173.44,-21.6935,-15.4859
mh,900,173.448,-16.5029,-13.5212
mh,900,173.441,-20.1125,-12.9993
smc,1000,218.796,-4.80109,-4.45829
smc,1000,315.693,-4.56699,-4.37943
smc,1000,93.7453,-6.67635,-6.54184
smc,1000,126.757,-6.50034,-6.21695
smc,1000,88.7893,-6.12867,-5.80946
smc,1000,94.5547,-5.48658,-5.18677
smc,1000,288.018,-5.91181,-5.74829
smc,1000,83.2335,-7.81429,-7.47047
smc,1000,235.818,-5.00066,-4.73761
smc,1000,296.587,-7.19406,-7.1697
smc_fixedOrder,1000,283.249,-10.4314,-10.2796
smc_fixedOrder,1000,45.2894,-8.63582,-8.51857
smc_fixedOrder,1000,35.6989,-11.1982,-10.8314
smc_fixedOrder,1000,43.0949,-9.5642,-9.29628
smc_fixedOrder,1000,118.818,-7.41417,-7.23234
smc_fixedOrder,1000,29.5558,-9.94224,-9.9241
smc_fixedOrder,1000,49.1243,-8.56703,-8.37501
smc_fixedOrder,1000,28.5773,-9.65196,-9.24397
smc_fixedOrder,1000,80.3405,-6.2465,-6.03145
smc_fixedOrder,1000,38.7719,-9.08038,-8.88406
mh,1000,184.281,-17.0899,-15.2048
mh,1000,184.33,-30.6728,-17.8817
mh,1000,184.272,-15.9187,-15.0925
mh,1000,184.276,-9.21032,-6.98072
mh,1000,184.269,-10.595,-6.99293
mh,1000,184.27,-10.1205,-8.5208
mh,1000,184.319,-24.1641,-13.8484
mh,1000,184.337,-74.5788,-17.097
mh,1000,184.317,-40.8776,-12.2175
mh,1000,184.272,-16.1235,-15.1066
